DB size: 200
begin timestamp : 1740593408.674227; tag : pre_run; duration : 0.02450704574584961; package_0 : 332335.0; core_0 : 234374.0; uncore_0 : 12635.0
begin timestamp : 1740590189.6880314; tag : postrun; duration : 0.3050856590270996; package_0 : 4339649.0; core_0 : 3294547.0; uncore_0 : 176330.0
begin timestamp : 1740590189.993587; tag : pre_run; duration : 0.024862289428710938; package_0 : 316283.0; core_0 : 218261.0; uncore_0 : 11841.0
begin timestamp : 1740590190.018743; tag : postrun; duration : 0.2865712642669678; package_0 : 4262074.0; core_0 : 3280570.0; uncore_0 : 178650.0

DB size: 400
begin timestamp : 1740590205.7419221; tag : pre_run; duration : 0.0390925407409668; package_0 : 644652.0; core_0 : 476439.0; uncore_0 : 27465.0
begin timestamp : 1740590205.781457; tag : postrun; duration : 0.3651463985443115; package_0 : 5414048.0; core_0 : 4121450.0; uncore_0 : 221496.0
begin timestamp : 1740590206.1469314; tag : pre_run; duration : 0.026485919952392578; package_0 : 360595.0; core_0 : 252624.0; uncore_0 : 13428.0
begin timestamp : 1740590206.1738498; tag : postrun; duration : 0.34421372413635254; package_0 : 5034960.0; core_0 : 3782339.0; uncore_0 : 235046.0
begin timestamp : 1740590206.5185103; tag : pre_run; duration : 0.028033733367919922; package_0 : 378417.0; core_0 : 265746.0; uncore_0 : 13977.0
begin timestamp : 1740590206.5467746; tag : postrun; duration : 0.32850146293640137; package_0 : 4851672.0; core_0 : 3682364.0; uncore_0 : 213622.0
begin timestamp : 1740590206.8763552; tag : pre_run; duration : 0.02726435661315918; package_0 : 379882.0; core_0 : 246216.0; uncore_0 : 18372.0
begin timestamp : 1740590206.9041455; tag : postrun; duration : 0.3375272750854492; package_0 : 4916675.0; core_0 : 3738882.0; uncore_0 : 201049.0
begin timestamp : 1740590207.242066; tag : pre_run; duration : 0.02676868438720703; package_0 : 348693.0; core_0 : 241455.0; uncore_0 : 20020.0
begin timestamp : 1740590207.2691634; tag : postrun; duration : 0.3317897319793701; package_0 : 4832935.0; core_0 : 3678762.0; uncore_0 : 203551.0

DB size: 450
begin timestamp : 1740590227.79675; tag : pre_run; duration : 0.04078197479248047; package_0 : 630004.0; core_0 : 451476.0; uncore_0 : 30029.0
begin timestamp : 1740590227.8378718; tag : postrun; duration : 0.41628551483154297; package_0 : 6166244.0; core_0 : 4614490.0; uncore_0 : 316528.0
begin timestamp : 1740590228.2544165; tag : pre_run; duration : 0.029273271560668945; package_0 : 392883.0; core_0 : 260619.0; uncore_0 : 27038.0
begin timestamp : 1740590228.2839193; tag : postrun; duration : 0.3710446357727051; package_0 : 5527634.0; core_0 : 4150258.0; uncore_0 : 297485.0
begin timestamp : 1740590228.655218; tag : pre_run; duration : 0.02937483787536621; package_0 : 397521.0; core_0 : 275939.0; uncore_0 : 21484.0
begin timestamp : 1740590228.6848366; tag : postrun; duration : 0.3752937316894531; package_0 : 5565782.0; core_0 : 4235402.0; uncore_0 : 265380.0
begin timestamp : 1740590229.0607698; tag : pre_run; duration : 0.028457164764404297; package_0 : 379271.0; core_0 : 256835.0; uncore_0 : 18921.0
begin timestamp : 1740590229.0894387; tag : postrun; duration : 0.37839245796203613; package_0 : 5609117.0; core_0 : 4278309.0; uncore_0 : 261535.0
begin timestamp : 1740590229.4681392; tag : pre_run; duration : 0.03039264678955078; package_0 : 391295.0; core_0 : 265197.0; uncore_0 : 17761.0
begin timestamp : 1740590229.4987855; tag : postrun; duration : 0.3720560073852539; package_0 : 5514573.0; core_0 : 4213063.0; uncore_0 : 249572.0
